Author,movieName,Metascore_w,abs_score,relative_score
grandpajoe6191,toy-story,10,3,43%
sesostris,gangster-squad,10,3,43%
sesostris,lone-ranger,10,3,43%
Demorase,fifty-shades-darker,10,3,43%
Demorase,the-amazing-spider-man,10,3,43%
Demorase,american-psycho,10,3,43%
Demorase,seeking-a-friend-for-the-end-of-the-world,10,3,43%
Demorase,gravity,10,3,43%
eagleeyeviking,inception,10,2,25%
eagleeyeviking,the-dark-knight,10,2,25%
chughead,chronicle-2012,10,2,25%
chughead,fast-five,10,2,25%
chughead,act-of-valor,10,2,25%
chughead,transformers-dark-of-the-moon,10,2,25%
chughead,the-avengers-2012,10,2,25%
SensibleGamer,the-avengers-2012,10,1,11%
grandpajoe6191,whiplash,9,2,29%
grandpajoe6191,the-wind-rises,9,2,29%
grandpajoe6191,the-wolf-of-wall-street,9,2,29%
grandpajoe6191,django-unchained,9,2,29%
grandpajoe6191,the-artist,9,2,29%
grandpajoe6191,127-hours,9,2,29%
grandpajoe6191,blue-valentine,9,2,29%
grandpajoe6191,toy-story-3,9,2,29%
grandpajoe6191,up,9,2,29%
