2-fast-2-furious,0.999978
the-village,0.855296
underworld-evolution,0.85502
brokeback-mountain,0.802804
shrek-the-third,0.798873
running-scared,0.790636
the-shaggy-dog,0.778258
hudson-hawk,0.777999
van-helsing,0.721986
king-arthur,0.717004
the-italian-job,0.71678
postman-pat-the-movie,0.683674
the-spongebob-movie-sponge-out-of-water,0.67735
best-worst-movie,0.665231
something-new,0.653233
predator,0.63564
ballistic-ecks-vs-sever,0.620183
drop-dead-gorgeous,0.612817
the-green-mile,0.60918
thank-you-for-smoking,0.593143
scream,0.590937
tomorrow-never-dies,0.584663
lucy,0.581816
battle-for-terra,0.576848
abraham-lincoln-vampire-hunter,0.574147
pride-and-prejudice-and-zombies,0.572081
the-hunger-games-mockingjay---part-1,0.565572
the-dictator,0.564251
fighting,0.553782
justin-biebers-believe,0.536468
bruno,0.530099
coming-to-america,0.530083
the-sitter,0.528331
the-city-of-lost-children,0.5245
mr-magoriums-wonder-emporium,0.523641
the-one,0.523445
the-blair-witch-project,0.52238
snowpiercer,0.519358
fever-pitch,0.51748
stargate,0.514689
project-almanac,0.510014
rize,0.509449
bullet-to-the-head,0.508524
gi-joe-retaliation,0.508015
marci-x,0.500259
red-lights,0.495799
role-models,0.493178
charlies-angels,0.489538
ride-along-2,0.489042
alvin-and-the-chipmunks-chipwrecked,0.488643
